task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,num_mem_tokens,segment_ordering,model_path,sum_loss,num_steps,best_valid_exact_match
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers/run_1,False,80,0.0
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,16,2,linear,1024,1,0,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem0_bs32_iters3000_regular/run_3,False,3000,73.7957992553711
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,16,2,linear,1024,1,0,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem0_bs32_iters3000_regular/run_3,False,3000,72.54340362548828
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,16,2,linear,1024,1,0,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem0_bs32_iters3000_regular/run_2,False,3000,74.95179748535156
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,16,2,linear,1024,1,0,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem0_bs32_iters3000_regular/run_2,False,3000,73.31410217285156
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,1,0,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem0_bs32_iters3000_regular/run_1,False,3000,73.89209747314453
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,1,0,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem0_bs32_iters3000_regular/run_1,False,0,0.0
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers_shared:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers_shared/run_2,False,4000,70.90560150146484
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers_shared:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers_shared/run_1,False,4000,70.52020263671875
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1024,1,10,regular,../runs/debug/contract_nli/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-512-{1}seg_mem10_bs32_iters3000_regular/run_1,False,3000,71.1946029663086
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular/run_3,False,4000,70.80919647216797
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular/run_2,False,4000,72.63970184326172
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular/run_1,False,4000,58.28519821166992
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers_shared_last2:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers_shared_last2/run_3,False,4000,72.06169891357422
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers_shared_last2:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers_shared_last2/run_2,False,4000,72.73600006103516
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers_shared_last2:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers_shared_last2/run_1,False,4000,73.50669860839844
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,16,2,linear,1024,1,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem10_bs32_iters3000_regular/run_3,False,3000,73.0250015258789
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,16,2,linear,1024,1,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem10_bs32_iters3000_regular/run_3,False,3000,72.8323974609375
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,16,2,linear,1024,1,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem10_bs32_iters3000_regular/run_2,False,3000,74.56649780273438
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,16,2,linear,1024,1,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem10_bs32_iters3000_regular/run_2,False,3000,73.410400390625
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,1,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-512-{1}seg_mem10_bs32_iters3000_regular/run_1,False,3000,71.67630004882812
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers_shared:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers_shared/run_3,False,4000,72.63970184326172
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers_shared:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers_shared/run_2,False,4000,58.95949935913086
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers_shared:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers_shared/run_1,False,4000,72.35070037841797
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,0,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem0_bs32_iters4000_regular/run_3,False,4000,58.86320114135742
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,0,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem0_bs32_iters4000_regular/run_2,False,4000,58.28519821166992
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.001,8,2,linear,1024,2,0,regular,../runs/debug/contract_nli/t5-base/lr1e-03_linear_adamw_wd1e-03_1024-1024-{2}seg_mem0_bs32_iters4000_regular/run_1,False,4000,58.670501708984375
contract_nli,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1024,1,0,regular,../runs/debug/contract_nli/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-512-{1}seg_mem0_bs32_iters3000_regular/run_1,False,3000,71.09829711914062
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,2,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers/run_2,False,4000,67.53369903564453
contract_nli,t5-base,,modeling_rmt_enc_dec_mem_layers:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,2,10,regular,../runs/debug/contract_nli/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters4000_regular_mem_layers/run_1,False,4000,71.96530151367188
